n,seconds
1456,0.1490262
1457,0.149256
1458,0.1519171
1459,0.1494177
1460,0.1496839
1461,0.1497759
1462,0.1503386
1463,0.1499677
1464,0.1740627
1465,0.1635053
1466,0.1865099
1467,0.154956
1468,0.1508533
1469,0.1510553
1470,0.1520852
1471,0.1773182
1472,0.1704953
1473,0.1515053
1474,0.1522986
1475,0.1535393
1476,0.1536867
1477,0.1548136
1478,0.1819532
1479,0.1532913
1480,0.1533677
1481,0.153572
1482,0.1540794
1483,0.1541916
1484,0.1542948
1485,0.1549273
1486,0.1987203
1487,0.171603
1488,0.1723289
1489,0.2350018
1490,0.2166837
1491,0.2032973
1492,0.1806633
1493,0.1631812
1494,0.2521725
1495,0.3582166
1496,0.1739133
1497,0.1606976
1498,0.1592794
1499,0.1588482
1500,0.1582511
1501,0.1593568
1502,0.1594585
1503,0.1592472
1504,0.1587259
1505,0.2674146
1506,0.1759889
1507,0.1596556
1508,0.1822497
1509,0.1656608
1510,0.1625424
1511,0.2001836
1512,0.3018864
1513,0.1931207
1514,0.1884851
1515,0.2225467
1516,0.1993543
1517,0.1647472
1518,0.1692786
1519,0.2110939
1520,0.2281434
1521,0.1863883
1522,0.2304922
1523,0.1704249
1524,0.1638227
1525,0.1639964
1526,0.1899757
1527,0.1975923
1528,0.1642541
1529,0.1905547
1530,0.1652458
1531,0.211768
1532,0.1656903
1533,0.2008138
1534,0.1832862
1535,0.18349
1536,0.166184
1537,0.1676394
1538,0.1661535
1539,0.2073539
1540,0.1675353
1541,0.1951071
1542,0.1683012
1543,0.1675927
1544,0.2521257
1545,0.1687166
1546,0.1680511
1547,0.167714
1548,0.1696362
1549,0.1843198
1550,0.3079927
1551,0.1687043
1552,0.2384424
1553,0.1726112
1554,0.1707337
1555,0.2237437
1556,0.1706514
1557,0.2248088
1558,0.1720566
1559,0.26781
1560,0.2706086
1561,0.1717494
1562,0.1716629
1563,0.2108796
1564,0.1742617
1565,0.1721999
1566,0.1719243
1567,0.1734508
1568,0.1740797
1569,0.1728512
1570,0.1728334
1571,0.2536364
1572,0.1864623
1573,0.1753255
1574,0.1752022
1575,0.227419
1576,0.218063
1577,0.1952991
1578,0.2163104
1579,0.3589204
1580,0.1748616
1581,0.221709
1582,0.2250275
1583,0.1881515
1584,0.1761789
1585,0.1779632
1586,0.1826646
1587,0.1857842
1588,0.1817208
1589,0.1897306
1590,0.2047263
1591,0.2092151
1592,0.1951237
1593,0.178986
1594,0.2408151
1595,0.2279844
1596,0.1822205
1597,0.2830963
1598,0.1795306
1599,0.2459041
1600,0.2111357
1601,0.3231745
1602,0.2099265
1603,0.246235
1604,0.1934274
1605,0.3647051
1606,0.2847942
1607,0.3179139
1608,0.2710151
1609,0.1817911
1610,0.2082084
1611,0.1849148
1612,0.1814773
1613,0.2413641
1614,0.2382591
1615,0.1889866
1616,0.1909919
1617,0.1866993
1618,0.2191208
1619,0.2105063
1620,0.2367424
1621,0.225114
1622,0.2255421
1623,0.2078414
1624,0.2283259
1625,0.2487863
1626,0.2058977
1627,0.3674702
1628,0.2237483
1629,0.2183368
1630,0.2107974
1631,0.2348478
1632,0.2092036
1633,0.2012308
1634,0.2845946
1635,0.1962671
1636,0.4722574
1637,0.249429
1638,0.3345339
1639,0.3396005
1640,0.3168147
1641,0.2487377
1642,0.2067081
1643,0.1983452
1644,0.1957098
1645,0.1902794
1646,0.2327027
1647,0.1923419
1648,0.1920852
1649,0.1928623
1650,0.2139985
1651,0.3812487
1652,0.2781154
1653,0.1926052
1654,0.192596
1655,0.2017213
1656,0.1930638
1657,0.5015725
1658,0.2581563
1659,0.2353528
1660,0.287518
1661,0.3174046
1662,0.1990579
1663,0.1979203
1664,0.1953215
1665,0.1957847
1666,0.2469341
1667,0.2002985
1668,0.2016029
1669,0.2354945
1670,0.1957343
1671,0.1959763
1672,0.1968874
1673,0.1992016
1674,0.2343974
1675,0.2125313
1676,0.2129737
1677,0.2121394
1678,0.3604673
